Band Number	Band Width (nm)	Center Wavelength (nm)	Starting Wavelength (nm)	Ending Wavelength (nm)
153	21.7	3273.9	3263.05	3284.75
154	21.7	3290.7	3279.85	3301.55
155	21.7	3307.6	3296.75	3318.45
156	21.7	3324.5	3313.65	3335.35
157	21.7	3341.3	3330.45	3352.15
158	21.7	3358.2	3347.35	3369.05
159	21.7	3375.0	3364.15	3385.85
160	21.7	3391.9	3381.05	3402.75
161	21.7	3408.7	3397.85	3419.55
162	21.7	3425.6	3414.75	3436.45
163	21.7	3442.4	3431.55	3453.25
164	21.7	3459.3	3448.45	3470.15
165	21.7	3476.1	3465.25	3486.95
166	21.7	3493.0	3482.15	3503.85
167	21.7	3509.8	3498.95	3520.65
168	21.7	3526.7	3515.85	3537.55
169	21.7	3543.5	3532.65	3554.35
170	21.7	3560.4	3549.55	3571.25
171	21.7	3577.2	3566.35	3588.05
172	21.7	3594.1	3583.25	3604.95
173	21.7	3610.9	3600.05	3621.75
174	21.7	3627.8	3616.95	3638.65
175	21.7	3644.6	3633.75	3655.45
176	21.7	3661.5	3650.65	3672.35
177	21.7	3678.3	3667.45	3689.15
178	21.7	3695.2	3684.35	3706.05
179	21.7	3712.1	3701.25	3722.95
180	21.7	3728.9	3718.05	3739.75
181	21.7	3745.8	3734.95	3756.65
182	21.7	3762.6	3751.75	3773.45
183	21.7	3779.5	3768.65	3790.35
184	21.7	3796.3	3785.45	3807.15
185	21.7	3813.2	3802.35	3824.05
186	21.7	3830.0	3819.15	3840.85
187	21.7	3846.9	3836.05	3857.75
188	21.7	3863.7	3852.85	3874.55
189	21.7	3880.6	3869.75	3891.45
190	21.7	3897.4	3886.55	3908.25
191	21.7	3914.3	3903.45	3925.15
192	21.7	3931.1	3920.25	3941.95
193	21.8	3948.0	3937.10	3958.90
194	21.8	3964.8	3953.90	3975.70
195	21.8	3981.7	3970.80	3992.60
196	21.8	3998.5	3987.60	4009.40
197	21.8	4015.4	4004.50	4026.30
198	21.8	4032.2	4021.30	4043.10
199	21.8	4049.1	4038.20	4060.00
200	21.8	4066.0	4055.10	4076.90
201	21.9	4082.8	4071.85	4093.75
202	21.9	4099.7	4088.75	4110.65
203	21.9	4116.5	4105.55	4127.45
204	21.9	4133.4	4122.45	4144.35
205	21.9	4150.2	4139.25	4161.15
206	21.9	4167.1	4156.15	4178.05
207	22.0	4183.9	4172.90	4194.90
208	22.0	4200.8	4189.80	4211.80
209	22.0	4217.6	4206.60	4228.60
210	22.0	4234.5	4223.50	4245.50
211	22.0	4251.3	4240.30	4262.30
212	22.0	4268.2	4257.20	4279.20
213	22.1	4285.0	4273.95	4296.05
214	22.1	4301.9	4290.85	4312.95
215	22.1	4318.7	4307.65	4329.75
216	22.1	4335.6	4324.55	4346.65
217	22.2	4352.4	4341.30	4363.50
218	22.2	4369.3	4358.20	4380.40
219	22.2	4386.1	4375.00	4397.20
220	22.2	4403.0	4391.90	4414.10
221	22.3	4419.9	4408.75	4431.05
222	22.3	4436.7	4425.55	4447.85
223	22.3	4453.6	4442.45	4464.75
224	22.4	4470.4	4459.20	4481.60
225	22.4	4487.3	4476.10	4498.50
226	22.4	4504.1	4492.90	4515.30
227	22.4	4521.0	4509.80	4532.20
228	22.5	4537.8	4526.55	4549.05
229	22.5	4554.7	4543.45	4565.95
230	22.5	4571.5	4560.25	4582.75
231	22.6	4588.4	4577.10	4599.70
232	22.6	4605.2	4593.90	4616.50
233	22.7	4622.1	4610.75	4633.45
234	22.7	4638.9	4627.55	4650.25
235	22.7	4655.8	4644.45	4667.15
236	22.8	4672.6	4661.20	4684.00
237	22.8	4689.5	4678.10	4700.90
238	22.8	4706.3	4694.90	4717.70
239	22.9	4723.2	4711.75	4734.65
240	22.9	4740.0	4728.55	4751.45
241	23.0	4756.9	4745.40	4768.40
242	23.0	4773.8	4762.30	4785.30
243	23.1	4790.6	4779.05	4802.15
244	23.1	4807.5	4795.95	4819.05
245	23.2	4824.3	4812.70	4835.90
246	23.2	4841.2	4829.60	4852.80
247	23.3	4858.0	4846.35	4869.65
248	23.3	4874.9	4863.25	4886.55
249	23.4	4891.7	4880.00	4903.40
250	23.4	4908.6	4896.90	4920.30
251	23.5	4925.4	4913.65	4937.15
252	23.5	4942.3	4930.55	4954.05
253	23.6	4959.1	4947.30	4970.90
254	23.6	4976.0	4964.20	4987.80
255	23.7	4992.8	4980.95	5004.65
256	23.8	5009.7	4997.80	5021.60
