Longitude,Latitude,Pixel,Scan
137.28367,18.3798338,100,1900
137.195359,18.3782269,150,1900
137.107048,18.3765885,200,1900
137.020489,18.3749521,249,1900
137.457802,18.5220891,0,1950
137.369361,18.5205434,50,1950
137.280952,18.5189665,100,1950
137.19256,18.5173581,150,1950
137.104168,18.5157179,200,1950
137.01753,18.5140793,249,1950
137.455243,18.6612422,0,2000
137.36672,18.659696,50,2000
137.278229,18.6581182,100,2000
137.189755,18.6565086,150,2000
137.101281,18.6548668,200,2000
137.014563,18.6532265,249,2000
137.452675,18.8003952,0,2050
137.364069,18.7988483,50,2050
137.275496,18.7972695,100,2050
137.18694,18.7956586,150,2050
137.098384,18.7940152,200,2050
137.011584,18.7923729,249,2050
137.450115,18.9395342,0,2100
137.361426,18.9379866,50,2100
137.27277,18.9364067,100,2100
137.18413,18.9347943,150,2100
137.095491,18.9331491,200,2100
137.00861,18.9315047,249,2100
137.447545,19.07867,0,2150
137.358772,19.0771216,50,2150
137.270032,19.0755407,100,2150
137.181308,19.0739269,150,2150
137.092585,19.07228,200,2150
137.005622,19.0706335,249,2150
137.444974,19.2178252,0,2200
137.356117,19.2162762,50,2200
137.267292,19.2146941,100,2200
137.178484,19.2130789,150,2200
137.089676,19.2114302,200,2200
137.00263,19.2097818,249,2200
137.442406,19.3569666,0,2250
137.353463,19.3554166,50,2250
137.264553,19.3538334,100,2250
137.175659,19.3522167,150,2250
137.086766,19.3505661,200,2250
136.999637,19.3489155,249,2250
137.439827,19.4960951,0,2300
137.350799,19.4945445,50,2300
137.261802,19.4929602,100,2300
137.172823,19.491342,150,2300
137.083844,19.4896897,200,2300
136.996631,19.488037,249,2300
137.437246,19.6352406,0,2350
137.348131,19.633689,50,2350
137.259048,19.6321035,100,2350
137.169981,19.6304838,150,2350
137.080916,19.6288295,200,2350
136.993617,19.6271746,249,2350
137.434666,19.7743797,0,2400
137.345463,19.7728273,50,2400
137.256293,19.7712407,100,2400
137.167139,19.7696194,150,2400
137.077986,19.7679634,200,2400
136.990602,19.7663063,249,2400
137.432078,19.9135122,0,2450
137.342787,19.911959,50,2450
137.253528,19.9103712,100,2450
137.164287,19.9087484,150,2450
137.075046,19.9070905,200,2450
136.987575,19.9054313,249,2450
137.429498,20.0526491,0,2500
137.340118,20.0510952,50,2500
137.25077,20.0495063,100,2500
137.16144,20.0478821,150,2500
137.07211,20.0462224,200,2500
136.984552,20.0445611,249,2500
137.426906,20.1917839,0,2550
137.337437,20.1902291,50,2550
137.248,20.1886389,100,2550
137.15858,20.1870131,150,2550
137.069161,20.1853514,200,2550
136.981515,20.1836878,249,2550
137.424313,20.3309148,0,2600
137.334753,20.3293593,50,2600
137.245226,20.327768,100,2600
137.155715,20.3261407,150,2600
137.066206,20.3244772,200,2600
136.978472,20.3228116,249,2600
137.421712,20.4700454,0,2650
137.332061,20.4684889,50,2650
137.242443,20.4668964,100,2650
137.152842,20.4652676,150,2650
137.063241,20.4636022,200,2650
136.975418,20.4619343,249,2650
137.419116,20.6091751,0,2700
137.329374,20.6076176,50,2700
137.239664,20.6060238,100,2700
137.149971,20.6043933,150,2700
137.060279,20.6027259,200,2700
136.972366,20.6010558,249,2700
137.416515,20.748307,0,2750
137.32668,20.7467487,50,2750
137.236877,20.7451537,100,2750
137.147092,20.7435217,150,2750
137.057307,20.7418524,200,2750
136.969303,20.74018,249,2750
137.413916,20.8874393,0,2800
137.323988,20.8858802,50,2800
137.234092,20.884284,100,2800
137.144213,20.8826505,150,2800
137.054335,20.8809793,200,2800
136.966241,20.8793047,249,2800
137.411307,21.0265642,0,2850
137.321285,21.0250041,50,2850
137.231295,21.0234066,100,2850
137.141322,21.0217713,150,2850
137.051351,21.0200981,200,2850
136.963164,21.0184212,249,2850
137.408701,21.165685,0,2900
137.318584,21.1641241,50,2900
137.2285,21.1625253,100,2900
137.138432,21.1608886,150,2900
137.048366,21.1592135,200,2900
136.960086,21.1575344,249,2900
137.406093,21.3048148,0,2950
137.31588,21.3032531,50,2950
137.2257,21.3016532,100,2950
137.135537,21.3000149,150,2950
137.045375,21.2983379,200,2950
136.957002,21.2966567,249,2950
137.40348,21.4439422,0,3000
137.313171,21.4423794,50,3000
137.222895,21.4407781,100,3000
137.132636,21.4391381,150,3000
137.042378,21.437459,200,3000
136.953911,21.4357753,249,3000
137.400862,21.583058,0,3050
137.310456,21.5814942,50,3050
137.220083,21.5798915,100,3050
137.129727,21.5782497,150,3050
137.039372,21.5765686,200,3050
136.95081,21.5748825,249,3050
137.398238,21.7221795,0,3100
137.307734,21.7206149,50,3100
137.217263,21.719011,100,3100
137.12681,21.7173676,150,3100
137.036357,21.7156845,200,3100
136.947699,21.7139962,249,3100
137.395614,21.8613044,0,3150
137.305012,21.8597388,50,3150
137.214443,21.8581336,100,3150
137.123891,21.8564885,150,3150
137.03334,21.8548034,200,3150
136.944585,21.8531128,249,3150
137.392989,22.0004167,0,3200
137.302287,21.99885,50,3200
137.211619,21.9972434,100,3200
137.120968,21.9955967,150,3200
137.030318,21.9939095,200,3200
136.941466,21.9922164,249,3200
137.390362,22.1395328,0,3250
137.299561,22.1379651,50,3250
137.208792,22.1363571,100,3250
137.118041,22.1347086,150,3250
137.027291,22.1330192,200,3250
136.938342,22.1313238,249,3250
137.387726,22.2786534,0,3300
137.296824,22.2770849,50,3300
137.205955,22.2754756,100,3300
137.115103,22.2738255,150,3300
137.024252,22.2721342,200,3300
136.935204,22.2704365,249,3300
137.385082,22.4177695,0,3350
137.294078,22.4161999,50,3350
137.203108,22.4145894,100,3350
137.112155,22.4129376,150,3350
137.021203,22.4112442,200,3350
136.932055,22.4095441,249,3350
137.382443,22.5568811,0,3400
137.291337,22.5553105,50,3400
137.200264,22.5536986,100,3400
137.109209,22.552045,150,3400
137.018155,22.5503496,200,3400
136.928907,22.5486471,249,3400
137.379801,22.6959988,0,3450
137.288592,22.6944272,50,3450
137.197416,22.6928138,100,3450
137.106258,22.6911585,150,3450
137.0151,22.6894609,200,3450
136.925751,22.6877559,249,3450
137.377153,22.8351094,0,3500
137.28584,22.8335369,50,3500
137.19456,22.8319222,100,3500
137.103298,22.8302652,150,3500
137.012037,22.8285655,200,3500
136.922586,22.8268582,249,3500
137.374504,22.974214,0,3550
137.283086,22.9726403,50,3550
137.191702,22.9710242,100,3550
137.100335,22.9693654,150,3550
137.008969,22.9676635,200,3550
136.919416,22.9659537,249,3550
137.37185,23.113328,0,3600
137.280327,23.1117531,50,3600
137.188838,23.1101355,100,3600
137.097365,23.1084748,150,3600
137.005894,23.1067707,200,3600
136.916238,23.1050584,249,3600
137.369192,23.2524396,0,3650
137.277563,23.2508636,50,3650
137.185967,23.2492444,100,3650
137.094389,23.2475817,150,3650
137.002811,23.2458754,200,3650
136.913051,23.2441605,249,3650
137.366529,23.3915382,0,3700
137.274792,23.3899611,50,3700
137.183089,23.3883404,100,3700
137.091404,23.386676,150,3700
136.99972,23.3849674,200,3700
136.909855,23.38325,249,3700
137.363862,23.5306382,0,3750
137.272017,23.52906,50,3750
137.180207,23.5274378,100,3750
137.088414,23.5257714,150,3750
136.996622,23.5240606,200,3750
136.906651,23.5223406,249,3750
137.361197,23.6697486,0,3800
137.269244,23.6681692,50,3800
137.177325,23.6665456,100,3800
137.085424,23.6648774,150,3800
136.993523,23.6631645,200,3800
136.903446,23.6614419,249,3800
137.358526,23.8088577,0,3850
137.266463,23.8072773,50,3850
137.174434,23.8056522,100,3850
137.082423,23.8039822,150,3850
136.990413,23.802267,200,3850
136.900229,23.800542,249,3850
137.355849,23.9479527,0,3900
137.263676,23.9463711,50,3900
137.171537,23.9447445,100,3900
137.079416,23.9430726,150,3900
136.987296,23.9413552,200,3900
136.897003,23.9396276,249,3900
137.353169,24.0870438,0,3950
137.260885,24.0854611,50,3950
137.168635,24.0838329,100,3950
137.076403,24.0821591,150,3950
136.984172,24.0804394,200,3950
136.893771,24.0787092,249,3950
137.350487,24.226148,0,4000
137.258091,24.2245642,50,4000
137.165729,24.2229346,100,4000
137.073385,24.2212591,150,4000
136.981043,24.2195372,200,4000
136.890532,24.2178045,249,4000
137.347801,24.3652524,0,4050
137.255292,24.3636674,50,4050
137.162818,24.3620362,100,4050
137.070361,24.3603587,150,4050
136.977906,24.3586345,200,4050
136.887285,24.3568992,249,4050
137.34511,24.5043404,0,4100
137.252488,24.5027542,50,4100
137.1599,24.5011214,100,4100
137.06733,24.4994419,150,4100
136.974761,24.4977154,200,4100
136.884029,24.4959774,249,4100
137.342411,24.643436,0,4150
137.249674,24.6418485,50,4150
137.156972,24.6402142,100,4150
137.064288,24.6385327,150,4150
136.971605,24.6368038,200,4150
136.880761,24.6350631,249,4150
137.339712,24.7825326,0,4200
137.246861,24.7809439,50,4200
137.154043,24.779308,100,4200
137.061244,24.7776245,150,4200
136.968446,24.7758933,200,4200
136.877489,24.7741499,249,4200
137.337011,24.921619,0,4250
137.244044,24.9200292,50,4250
137.15111,24.9183916,100,4250
137.058195,24.9167062,150,4250
136.965281,24.9149727,200,4250
136.874211,24.9132267,249,4250
137.334294,25.0607053,0,4300
137.24121,25.0591142,50,4300
137.14816,25.057475,100,4300
137.055128,25.0557876,150,4300
136.962097,25.0540516,200,4300
136.870912,25.0523029,249,4300
137.331576,25.1998062,0,4350
137.238374,25.1982139,50,4350
137.145206,25.1965732,100,4350
137.052057,25.1948838,150,4350
136.958908,25.1931455,200,4350
136.867608,25.1913941,249,4350
137.328859,25.3388974,0,4400
137.235538,25.3373039,50,4400
137.142252,25.3356616,100,4400
137.048984,25.3339702,150,4400
136.955717,25.3322295,200,4400
136.864301,25.3304755,249,4400
137.326147,25.4779773,0,4450
137.232706,25.4763824,50,4450
137.139301,25.4747383,100,4450
137.045913,25.4730449,150,4450
136.952527,25.4713017,200,4450
136.860993,25.4695449,249,4450
137.323418,25.6170594,0,4500
137.229858,25.6154633,50,4500
137.136332,25.6138175,100,4500
137.042824,25.612122,150,4500
136.949317,25.6103765,200,4500
136.857666,25.6086169,249,4500
137.320686,25.7561458,0,4550
137.227004,25.7545484,50,4550
137.133357,25.752901,100,4550
137.039728,25.7512035,150,4550
136.9461,25.7494555,200,4550
136.854331,25.7476932,249,4550
137.317951,25.8952283,0,4600
137.224147,25.8936296,50,4600
137.130378,25.8919806,100,4600
137.036627,25.890281,150,4600
136.942877,25.8885305,200,4600
136.850988,25.8867655,249,4600
137.315212,26.0343042,0,4650
137.221285,26.0327042,50,4650
137.127393,26.0310535,100,4650
137.033519,26.0293519,150,4650
136.939647,26.027599,200,4650
136.847637,26.0258312,249,4650
137.312475,26.1733897,0,4700
137.218424,26.1717883,50,4700
137.124409,26.1701358,100,4700
137.030411,26.168432,150,4700
136.936415,26.1666766,200,4700
136.844284,26.1649058,249,4700
137.309726,26.312471,0,4750
137.215551,26.3108683,50,4750
137.121411,26.3092141,100,4750
137.027289,26.3075081,150,4750
136.933168,26.3057502,200,4750
136.840915,26.3039766,249,4750
137.306976,26.4515441,0,4800
137.212675,26.4499399,50,4800
137.118409,26.4482839,100,4800
137.024162,26.4465757,150,4800
136.929916,26.4448152,200,4800
136.83754,26.4430387,249,4800
137.30422,26.590616,0,4850
137.209793,26.5890104,50,4850
137.115401,26.5873525,100,4850
137.021027,26.5856421,150,4850
136.926655,26.583879,200,4850
136.834155,26.5820995,249,4850
137.301455,26.7296964,0,4900
137.2069,26.7280894,50,4900
137.112381,26.7264297,100,4900
137.01788,26.7247172,150,4900
136.92338,26.7229515,200,4900
136.830756,26.7211692,249,4900
137.298689,26.8687695,0,4950
137.204006,26.8671611,50,4950
137.109358,26.8654996,100,4950
137.014729,26.8637849,150,4950
136.920101,26.8620166,200,4950
136.827351,26.8602314,249,4950
137.295911,27.0078341,0,5000
137.201099,27.0062242,50,5000
137.106323,27.0045609,100,5000
137.011565,27.002844,150,5000
136.916808,27.001073,200,5000
136.823932,26.9992848,249,5000
137.293132,27.1469057,0,5050
137.19819,27.1452945,50,5050
137.103283,27.1436296,100,5050
137.008395,27.1419105,150,5050
136.913508,27.1401371,200,5050
136.820504,27.1383461,249,5050
137.290349,27.2859839,0,5100
137.195276,27.2843714,50,5100
137.100238,27.2827047,100,5100
137.005219,27.2809835,150,5100
136.910202,27.2792075,200,5100
136.81707,27.2774136,249,5100
137.287568,27.4250474,0,5150
137.192363,27.4234335,50,5150
137.097194,27.4217649,100,5150
137.002043,27.4200414,150,5150
136.906893,27.4182628,200,5150
136.813632,27.416466,249,5150
137.28478,27.5641099,0,5200
137.189442,27.5624944,50,5200
137.094139,27.5608239,100,5200
136.998856,27.5590981,150,5200
136.903574,27.5573168,200,5200
136.810183,27.5555169,249,5200
137.281985,27.70318,0,5250
137.186514,27.701563,50,5250
137.091078,27.6998905,100,5250
136.995661,27.6981625,150,5250
136.900245,27.6963784,200,5250
136.806723,27.6945755,249,5250
137.279184,27.8422472,0,5300
137.183577,27.8406287,50,5300
137.088007,27.8389543,100,5300
136.992455,27.8372239,150,5300
136.896905,27.8354372,200,5300
136.803251,27.8336311,249,5300
137.276372,27.9813007,0,5350
137.18063,27.9796806,50,5350
137.084924,27.9780043,100,5350
136.989237,27.9762715,150,5350
136.893551,27.9744819,200,5350
136.799764,27.9726728,249,5350
137.273555,28.12036,0,5400
137.177676,28.1187383,50,5400
137.081834,28.1170601,100,5400
136.98601,28.1153249,150,5400
136.890188,28.1135326,200,5400
136.796267,28.1117204,249,5400
137.270737,28.2594242,0,5450
137.174721,28.2578011,50,5450
137.078741,28.256121,100,5450
136.98278,28.2543836,150,5450
136.88682,28.2525887,200,5450
136.792765,28.2507735,249,5450
137.267911,28.3984757,0,5500
137.171756,28.3968511,50,5500
137.075638,28.3951691,100,5500
136.979538,28.3934294,150,5500
136.88344,28.3916317,200,5500
136.789249,28.3898134,249,5500
137.265084,28.5375245,0,5550
137.16879,28.5358982,50,5550
137.072532,28.5342141,100,5550
136.976293,28.5324719,150,5550
136.880056,28.5306714,200,5550
136.785728,28.5288499,249,5550
137.262253,28.6765853,0,5600
137.165818,28.6749574,50,5600
137.06942,28.6732713,100,5600
136.97304,28.6715267,150,5600
136.876663,28.6697233,200,5600
136.782198,28.6678986,249,5600
137.259416,28.8156436,0,5650
137.16284,28.8140142,50,5650
137.0663,28.8123261,100,5650
136.969779,28.8105792,150,5650
136.87326,28.808773,200,5650
136.778657,28.8069452,249,5650
137.256573,28.9546913,0,5700
137.159855,28.9530604,50,5700
137.063173,28.9513703,100,5700
136.96651,28.949621,150,5700
136.869849,28.947812,200,5700
136.775106,28.9459811,249,5700
137.253723,29.0937455,0,5750
137.156861,29.092113,50,5750
137.060036,29.0904209,100,5750
136.96323,29.0886691,150,5750
136.866425,29.0868573,200,5750
136.771542,29.0850231,249,5750
137.250864,29.2327963,0,5800
137.153857,29.2311621,50,5800
137.056888,29.2294681,100,5800
136.959937,29.2277139,150,5800
136.862988,29.2258993,200,5800
136.767964,29.224062,249,5800
137.248,29.3718451,0,5850
137.150849,29.3702093,50,5850
137.053734,29.3685131,100,5850
136.956638,29.3667564,150,5850
136.859544,29.3649389,200,5850
136.764377,29.3630983,249,5850
137.245134,29.510888,0,5900
137.147836,29.5092505,50,5900
137.050575,29.5075522,100,5900
136.953333,29.505793,150,5900
136.856092,29.5039725,200,5900
136.760782,29.5021286,249,5900
137.242261,29.6499348,0,5950
137.144816,29.6482955,50,5950
137.047407,29.6465951,100,5950
136.950018,29.6448333,150,5950
136.85263,29.6430098,200,5950
136.757176,29.6411626,249,5950
137.239381,29.7889803,0,6000
137.141787,29.7873393,50,6000
137.04423,29.7856368,100,6000
136.946692,29.7838725,150,6000
136.849157,29.782046,200,6000
136.753557,29.7801956,249,6000
137.236491,29.928022,0,6050
137.138748,29.9263792,50,6050
137.041041,29.9246744,100,6050
136.943354,29.9229075,150,6050
136.845669,29.9210779,200,6050
136.749923,29.919224,249,6050
137.233604,30.0670563,0,6100
137.13571,30.0654118,50,6100
137.037853,30.0637048,100,6100
136.940016,30.0619353,150,6100
136.842181,30.0601028,200,6100
136.746287,30.0582455,249,6100
137.230708,30.2060992,0,6150
137.132663,30.2044529,50,6150
137.034654,30.2027438,100,6150
136.936666,30.2009716,150,6150
136.838679,30.199136,200,6150
136.742637,30.1972753,249,6150
137.227807,30.3451387,0,6200
137.12961,30.3434906,50,6200
137.031449,30.3417793,100,6200
136.933308,30.3400044,150,6200
136.835169,30.3381658,200,6200
136.738978,30.3363017,249,6200
137.224894,30.484165,0,6250
137.126543,30.4825152,50,6250
137.028229,30.4808017,100,6250
136.929934,30.4790243,150,6250
136.831642,30.4771827,200,6250
136.7353,30.4753153,249,6250
137.221981,30.6232006,0,6300
137.123475,30.6215491,50,6300
137.025006,30.6198334,100,6300
136.926557,30.6180534,150,6300
136.82811,30.6162087,200,6300
136.731617,30.6143378,249,6300
137.219057,30.7622425,0,6350
137.120395,30.7605892,50,6350
137.021771,30.7588713,100,6350
136.923167,30.7570886,150,6350
136.824564,30.7552409,200,6350
136.727919,30.7533666,249,6350
137.216131,30.9012725,0,6400
137.117313,30.8996174,50,6400
137.018532,30.8978973,100,6400
136.919771,30.8961121,150,6400
136.821012,30.8942613,200,6400
136.724213,30.8923836,249,6400
137.213196,31.0402981,0,6450
137.11422,31.0386412,50,6450
137.015281,31.0369188,100,6450
136.916362,31.0351309,150,6450
136.817446,31.0332769,200,6450
136.720492,31.0313958,249,6450
137.21025,31.1793316,0,6500
137.111115,31.1776727,50,6500
137.012018,31.175948,100,6500
136.91294,31.1741573,150,6500
136.813865,31.1723001,200,6500
136.716756,31.1704154,249,6500
137.207293,31.3183628,0,6550
137.107998,31.3167022,50,6550
137.008741,31.3149753,100,6550
136.909503,31.3131819,150,6550
136.810268,31.3113216,200,6550
136.713002,31.3094335,249,6550
137.204339,31.4573814,0,6600
137.104883,31.4557188,50,6600
137.005465,31.4539895,100,6600
136.906066,31.4521933,150,6600
136.80667,31.4503298,200,6600
136.709247,31.4484381,249,6600
137.20138,31.5964077,0,6650
137.101762,31.5947432,50,6650
137.002181,31.5930116,100,6650
136.902621,31.5912125,150,6650
136.803063,31.5893458,200,6650
136.705481,31.5874505,249,6650
137.198409,31.7354354,0,6700
137.098627,31.733769,50,6700
136.998884,31.7320351,100,6700
136.89916,31.7302333,150,6700
136.799439,31.7283633,200,6700
136.701697,31.7264644,249,6700
137.195436,31.8744555,0,6750
137.09549,31.8727873,50,6750
136.995582,31.871051,100,6750
136.895694,31.8692464,150,6750
136.795809,31.8673733,200,6750
136.697906,31.8654708,249,6750
137.192454,32.0134707,0,6800
137.092343,32.0118006,50,6800
136.99227,32.010062,100,6800
136.892216,32.0082548,150,6800
136.792166,32.0063785,200,6800
136.694101,32.0044725,249,6800
137.189667,32.1360265,0,6850
137.089463,32.1343574,50,6850
136.989298,32.1326186,100,6850
136.889152,32.1308097,150,6850
136.789008,32.1289305,200,6850
136.690852,32.1270203,249,6850
137.186607,32.2801991,0,6900
137.086213,32.2785272,50,6900
136.985857,32.2767853,100,6900
136.885522,32.2749732,150,6900
136.785188,32.2730906,200,6900
136.686846,32.2711769,249,6900
137.183542,32.4243735,0,6950
137.082955,32.4226986,50,6950
136.982408,32.4209537,100,6950
136.88188,32.4191383,150,6950
136.781355,32.4172523,200,6950
136.682825,32.4153351,249,6950
137.18047,32.5685497,0,7000
137.07969,32.5668719,50,7000
136.978948,32.5651238,100,7000
136.878227,32.5633052,150,7000
136.777508,32.5614157,200,7000
136.678788,32.559495,249,7000
137.177449,32.7085459,0,7050
137.076493,32.7068659,50,7050
136.975575,32.7051152,100,7050
136.874679,32.7032935,150,7050
136.773784,32.7014006,200,7050
136.674892,32.6994761,249,7050
137.174426,32.8475591,0,7100
137.073298,32.8458771,50,7100
136.972208,32.8441238,100,7100
136.871139,32.8422992,150,7100
136.770072,32.8404029,200,7100
136.671012,32.8384746,249,7100
137.171392,32.9865647,0,7150
137.07009,32.9848805,50,7150
136.968827,32.9831248,100,7150
136.867584,32.9812971,150,7150
136.766344,32.9793974,200,7150
136.667114,32.9774652,249,7150
137.16835,33.1255759,0,7200
137.066874,33.1238897,50,7200
136.965436,33.1221314,100,7200
136.864019,33.1203007,150,7200
136.762604,33.1183975,200,7200
136.663203,33.1164616,249,7200
137.165298,33.2645925,0,7250
137.063645,33.2629042,50,7250
136.962032,33.2611434,100,7250
136.860439,33.2593099,150,7250
136.758848,33.2574032,200,7250
136.659275,33.2554635,249,7250
137.162245,33.4035911,0,7300
137.060415,33.4019008,50,7300
136.958625,33.4001376,100,7300
136.856855,33.3983011,150,7300
136.755087,33.3963912,200,7300
136.65534,33.3944477,249,7300
137.159188,33.5425848,0,7350
137.05718,33.5408923,50,7350
